Company Name,Symbol
Tata Consultancy Services,TCS.NS
Infosys,INFY.NS
ABB India,ABB.NS
Reliance Industries,RELIANCE.NS
HDFC Bank,HDFCBANK.NS
ICICI Bank,ICICIBANK.NS
State Bank of India,SBIN.NS
Larsen & Toubro,LT.NS
ITC,ITC.NS
Bharti Airtel,BHARTIARTL.NS
Hindustan Unilever,HINDUNILVR.NS
Axis Bank,AXISBANK.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Bajaj Finance,BAJFINANCE.NS
Maruti Suzuki India,MARUTI.NS
Sun Pharmaceutical,SUNPHARMA.NS
Titan Company,TITAN.NS
Asian Paints,ASIANPAINT.NS
Wipro,WIPRO.NS
Adani Enterprises,ADANIENT.NS
